,AT,V,AP,RH,PE
29772,7.08,39.99,1010.55,91.44,482.83
29773,24.49,60.27,1018.96,72.62,440.87
29774,24.38,57.17,1009.85,74.46,444.59
29775,22.67,58.2,1016.91,60.75,446.36
29776,25.26,74.33,1014.79,79.56,433.49
29777,14.85,44.63,1020.67,75.76,460.06
29778,28.83,71.32,1006.28,75.65,437.99
29779,9.46,42.28,1008.67,78.16,481.95
29780,26.16,67.9,1005.81,61.02,444.06
29781,32.51,71.22,1005.62,47.6,433.76
29782,15.81,58.59,1014.41,90.03,456.91
29783,20.68,68.61,1011.2,84.81,446.33
29784,26.15,63.21,1012.31,76.44,441.23
29785,23.75,68.51,1013.21,76.01,441.61
29786,23.99,50.32,1008.41,67.4,444.23
29787,29.24,64.33,1011.5,64.14,440.29
29788,15.69,37.87,1022.63,87.71,462.16
29789,27.77,63.87,1017.97,38.77,444.06
29790,10.52,41.78,1013.54,71.52,474.58
29791,13.7,43.22,1012.01,71.57,463.99
29792,14.26,40.92,1022.07,73.96,460.38
29793,11.52,39.18,1023.43,83.29,474.35
29794,5.53,40.64,1020.78,97.25,479.88
29795,17.63,40.55,1002.27,73.42,462.13
29796,8.72,36.25,1029.31,85.73,479.94
29797,25.91,58.98,1010.02,75.31,442.65
29798,22.7,59.92,1011.05,90.84,436.7
29799,16.76,45.09,1014.28,57.71,458.67
29800,20.98,42.23,1013.12,67.37,461.9
29801,18.63,61.27,1019.69,73.67,454.03
29802,9.14,40.6,1015.34,88.91,483.57
29803,32.27,71.85,1008.06,59.28,429.72
29804,28.62,68.24,1010.15,69.31,428.08
29805,26.53,65.18,1012.77,64.37,437.39
29806,19.6,48.14,1013.18,68.71,456.57
29807,14.2,45.51,1015.36,74.85,465.35
29808,15.85,49.69,1015.48,88.65,464.72
29809,13.69,40.1,1014.38,83.57,470.76
29810,18.53,61.27,1019.84,75.22,454.72
29811,24.19,50.23,1015.73,59.77,458.31
29812,21.87,61.45,1011.13,92.22,445.21
29813,19.93,56.65,1020.7,62.82,456.53
29814,9.26,40.78,1023.61,88.48,471.79
29815,29.43,66.75,1017.63,42.72,434.6
29816,21.67,69.71,1010.46,96.83,440.16
29817,13.42,38.91,1012.81,73.82,472.22
29818,21.37,65.94,1010.73,75.09,444.74
29819,22.35,66.44,1011.19,65.41,445.27
29820,12.47,38.25,1012.74,82.89,469.56
29821,18.32,42.18,1002.27,95.99,458.46
29822,14.72,43.34,1013.07,85.61,464.22
29823,17.37,57.76,1016.0,86.59,456.4
29824,24.19,46.21,1010.79,62.04,440.87
29825,13.85,44.9,1019.11,76.79,467.2
29826,23.42,50.05,1006.79,86.45,441.8
29827,20.38,66.54,1013.95,77.8,448.93
29828,9.15,39.61,1018.69,84.47,475.64
29829,23.94,62.08,1022.47,61.97,447.5
29830,11.01,43.69,1016.7,81.48,477.3
29831,21.03,44.78,1007.99,36.82,459.72
29832,14.41,40.71,1016.78,69.77,467.01
29833,16.7,46.18,1012.6,96.15,455.93
29834,30.52,70.4,1003.9,64.33,438.29
29835,22.18,62.91,1012.14,68.86,449.77
29836,12.8,39.16,1015.94,89.83,472.47
29837,24.18,66.48,1004.0,64.86,434.5
29838,27.35,69.48,1008.51,65.81,432.31
29839,29.75,70.32,1007.35,55.8,427.2
29840,28.59,69.84,1003.79,67.31,427.53
29841,10.27,40.64,1020.63,84.6,474.99
29842,6.69,40.64,1020.54,92.83,483.01
29843,14.8,40.2,1012.87,88.35,466.27
29844,31.09,74.22,1007.56,46.36,430.3
29845,18.21,62.26,1011.97,87.28,455.88
29846,27.02,72.58,1009.21,89.13,437.8
29847,13.9,45.08,1023.29,83.43,465.31
29848,19.65,44.89,1009.76,75.36,451.35
29849,7.87,41.06,1020.91,87.64,486.57
29850,23.25,63.78,1016.01,72.01,448.82
29851,23.04,63.86,1019.83,59.78,446.22
29852,31.7,76.09,1007.06,72.39,441.36
29853,29.55,66.25,1009.38,69.55,436.29
29854,8.42,43.14,1011.62,80.32,483.49
29855,27.71,54.2,1012.72,47.25,440.74
29856,24.82,66.48,1006.4,70.21,433.62
29857,25.72,70.47,1010.44,70.57,434.94
29858,28.41,61.47,1008.94,56.56,442.54
29859,24.17,48.41,1008.46,76.19,442.62
29860,30.24,73.9,1006.74,56.39,441.31
29861,17.31,44.71,1017.43,35.4,463.05
29862,23.69,71.97,1009.62,93.03,438.62
29863,24.92,48.92,1010.11,36.53,445.56
29864,18.14,67.71,1003.82,95.69,442.45
29865,13.31,40.03,1017.73,84.48,470.31
29866,25.56,75.6,1017.37,69.31,442.2
29867,9.23,42.44,1014.34,94.2,481.29
29868,12.54,40.8,1024.56,68.97,479.65
29869,32.51,73.56,1007.06,59.6,435.23
29870,24.6,49.3,1003.72,72.26,439.46
29871,22.49,62.52,1016.57,63.69,451.87
29872,24.01,60.84,1018.83,63.82,436.32
29873,24.23,58.79,1009.8,75.75,444.01
29874,21.49,68.28,1004.68,80.64,438.0
29875,8.46,40.8,1023.57,81.27,485.06
29876,33.82,77.17,1008.96,58.91,435.58
29877,12.73,40.27,1005.68,68.77,475.61
29878,23.95,59.92,1010.15,86.37,435.92
29879,32.31,68.94,1006.11,71.78,431.14
29880,5.23,35.57,1026.23,79.38,488.5
29881,29.45,68.84,1011.64,59.7,438.41
29882,25.78,59.15,1013.61,66.68,441.71
29883,19.39,68.61,1011.09,96.51,446.47
29884,26.44,69.34,1009.55,73.18,440.43
29885,25.18,71.98,1006.71,89.86,432.88
29886,12.99,41.93,1020.25,74.64,472.95
29887,29.96,67.83,1008.0,44.05,433.13
29888,23.76,61.5,1009.15,68.52,441.16
29889,13.78,40.0,1018.38,68.67,458.74
29890,14.84,41.23,995.02,88.0,464.85
29891,30.66,70.98,1007.6,72.08,435.66
29892,10.17,41.46,1020.01,84.86,482.36
29893,25.6,73.67,1005.78,84.82,433.25
29894,27.51,63.73,1009.97,66.14,440.81
29895,9.82,41.04,1026.72,77.28,473.98
29896,12.38,44.2,1020.23,81.5,467.04
29897,23.09,73.5,1011.4,89.76,438.56
29898,25.92,60.95,1014.62,48.46,442.84
29899,25.23,64.63,1020.59,52.2,447.28
29900,18.21,41.85,1014.67,56.86,468.4
29901,23.88,67.9,1005.99,67.58,446.34
29902,3.69,38.44,1016.74,82.87,490.78
29903,12.18,40.1,1016.67,91.87,471.49
29904,12.58,43.67,1012.86,94.01,472.65
29905,7.53,41.16,1023.19,91.28,475.7
29906,19.8,52.9,1017.75,66.67,456.64
29907,10.53,37.5,1008.55,99.91,472.32
29908,25.1,61.47,1007.84,75.75,447.27
29909,15.8,41.1,1003.0,77.36,465.87
29910,22.11,59.8,1016.74,73.9,453.45
29911,23.46,72.43,1008.0,90.55,435.36
29912,13.7,44.47,1027.51,70.77,468.79
29913,22.72,50.05,1007.0,88.24,444.43
29914,28.15,74.9,1003.67,76.32,433.63
29915,20.83,44.78,1008.51,35.9,460.6
29916,13.33,54.3,1016.77,80.32,468.1
29917,18.9,57.5,1016.21,93.9,451.42
29918,9.51,39.22,1015.3,72.41,474.12
29919,15.48,41.66,1009.55,66.74,467.06
29920,7.0,38.5,1014.09,81.32,489.52
29921,14.47,41.76,1021.98,78.41,464.0
29922,9.31,41.39,1018.3,93.68,480.25
29923,20.54,68.12,1012.23,81.06,440.28
29924,20.04,48.92,1011.14,68.92,447.89
29925,10.91,37.92,1008.66,66.53,473.72
29926,28.46,60.23,1010.2,63.38,439.88
29927,8.97,44.03,1013.16,80.39,474.61
29928,21.09,74.93,1015.11,81.93,443.51
29929,24.78,57.19,1008.08,65.4,443.62
29930,25.65,49.3,1003.73,68.48,440.05
29931,7.1,35.77,1015.39,92.1,480.36
29932,21.76,47.93,1005.34,86.28,444.77
29933,31.41,76.09,1007.68,70.49,430.81
29934,33.34,69.88,1007.65,42.72,437.84
29935,32.19,69.13,1000.45,48.22,425.21
29936,28.45,69.23,1013.07,39.46,436.96
29937,15.01,42.77,1018.21,73.22,462.6
29938,28.07,61.47,1008.68,64.83,442.59
29939,14.95,43.52,1022.43,94.75,464.98
29940,6.59,39.37,1020.34,77.92,488.17
29941,21.11,59.39,1013.87,85.29,446.02
29942,23.92,61.87,1009.63,54.16,441.15
29943,25.69,64.45,1013.05,42.0,450.94
29944,27.53,70.32,1007.75,49.31,433.72
29945,24.84,56.89,1012.15,67.24,440.36
29946,21.67,50.32,1008.41,85.99,445.31
29947,30.55,70.04,1010.51,49.37,429.56
29948,23.39,61.87,1010.35,48.91,444.03
29949,14.24,44.84,1023.6,94.06,466.67
29950,22.55,47.45,1008.65,67.9,447.42
29951,26.86,72.58,1009.22,88.39,428.69
29952,23.1,66.05,1020.28,80.62,439.03
29953,26.06,49.02,1007.59,74.08,437.9
29954,31.26,70.36,1006.49,60.47,438.15
29955,12.27,41.17,1019.39,52.18,473.84
29956,10.8,41.74,1020.24,78.62,479.32
29957,22.07,60.08,1017.68,71.23,452.56
29958,12.88,40.64,1020.76,92.58,474.58
29959,20.61,60.1,1010.84,80.57,450.46
29960,12.14,40.27,1007.57,73.22,472.84
29961,32.15,72.29,1010.13,50.19,435.71
29962,15.17,54.3,1017.38,72.11,464.39
29963,21.11,65.94,1009.83,71.91,448.77
29964,31.33,65.18,1011.97,36.62,435.77
29965,28.5,72.99,1007.02,67.13,433.24
29966,29.14,75.23,1010.15,54.87,434.82
29967,12.43,40.27,1007.08,61.56,470.92
29968,27.44,47.93,1002.71,59.44,437.76
29969,11.82,42.86,1014.12,88.28,476.7
29970,22.25,51.86,1013.08,83.64,451.04
29971,13.65,44.6,1017.99,87.04,466.06
29972,14.21,39.16,1016.5,85.09,473.87
29973,32.09,79.74,1006.92,61.5,432.85
29974,23.74,62.96,1019.65,63.39,449.48
29975,12.0,41.17,1019.48,58.71,474.4
29976,15.22,41.35,1003.12,95.45,464.56
29977,29.72,77.95,1014.9,72.73,434.99
29978,19.76,62.1,1020.07,73.55,450.44
29979,21.85,59.8,1016.89,75.28,454.26
29980,19.86,59.14,1016.12,69.32,449.82
29981,6.85,37.49,1011.01,84.53,483.12
29982,9.33,44.03,1011.73,86.04,474.15
29983,14.84,44.63,1019.28,57.37,466.0
29984,16.46,61.27,1020.02,74.54,456.64
29985,23.82,73.67,1007.26,88.16,438.42
29986,16.09,44.71,1017.86,42.74,464.95
29987,26.87,69.23,1012.71,54.54,433.89
29988,20.19,62.26,1011.37,89.69,443.58
29989,26.44,71.73,1009.52,81.75,430.55
29990,14.56,41.76,1023.82,85.36,464.3
29991,20.32,39.72,1001.38,57.21,456.18
29992,21.05,63.09,1016.49,91.23,447.45
29993,22.61,59.87,1019.12,66.12,441.2
29994,25.86,59.92,1009.92,73.95,436.06
29995,18.77,49.39,1021.06,82.95,454.53
29996,27.36,58.33,1013.86,56.7,439.14
29997,30.76,69.14,1007.63,71.24,431.67
29998,21.73,64.63,1020.84,68.9,450.36
29999,30.32,74.22,1008.31,53.14,429.36
30000,17.75,55.5,1020.15,81.26,459.43
30001,10.2,41.17,1019.56,82.46,479.7
30002,24.4,60.37,1006.77,82.43,440.64
30003,22.61,42.8,1014.24,69.71,460.26
30004,21.08,44.05,1008.13,72.52,449.6
30005,20.3,56.53,1020.27,76.49,454.12
30006,7.64,42.28,1008.49,83.42,483.74
30007,21.47,60.93,1006.46,87.83,442.75
30008,7.92,39.54,1011.51,84.41,481.44
30009,25.19,64.44,1014.75,64.38,444.35
30010,9.28,41.38,1021.96,72.22,486.18
30011,9.86,38.38,1018.22,85.35,479.56
30012,18.71,54.9,1017.12,74.79,456.88
30013,7.76,37.7,1014.82,76.47,480.7
30014,30.21,75.33,1002.24,66.71,431.46
30015,30.8,69.14,1007.68,63.78,433.62
30016,21.75,58.79,1012.42,87.58,447.58
30017,24.97,54.2,1012.68,74.25,439.71
30018,22.7,61.41,1012.08,78.08,449.75
30019,8.54,38.08,1019.75,71.24,478.31
30020,25.58,64.45,1011.07,61.47,447.16
30021,28.09,65.27,1013.27,51.96,440.0
30022,32.9,68.51,1012.95,50.09,430.23
30023,23.63,65.59,1013.1,76.95,440.56
30024,19.12,50.16,1011.52,99.71,451.49
30025,17.45,42.28,1007.64,69.19,463.83
30026,24.02,77.54,1008.33,83.92,438.52
30027,13.92,43.41,1015.12,61.64,464.76
30028,12.35,41.38,1021.99,55.38,474.94
30029,24.42,65.94,1011.25,65.04,439.63
30030,32.36,73.91,1003.88,59.84,431.92
30031,23.68,49.02,1007.53,86.05,440.68
30032,32.41,67.83,1008.54,55.96,426.85
30033,21.34,48.06,1014.49,63.23,458.13
30034,25.34,59.39,1014.02,73.58,439.8
30035,19.88,47.03,1012.27,91.99,456.44
30036,9.91,39.64,1010.57,75.82,478.63
30037,32.37,67.83,1008.32,57.39,426.76
30038,13.42,48.04,1011.63,99.32,461.36
30039,27.44,65.59,1010.76,68.67,441.08
30040,29.78,65.74,1012.13,44.96,441.51
30041,25.69,62.26,1011.38,74.08,436.36
30042,25.54,60.37,1006.49,71.54,436.14
30043,25.09,65.38,1009.99,54.28,453.58
30044,7.05,40.69,1020.53,89.67,476.75
30045,23.89,64.27,1013.37,75.22,450.82
30046,6.91,36.08,1021.82,84.31,486.37
30047,6.71,40.72,1022.78,80.69,483.11
30048,26.94,62.91,1011.68,41.3,449.1
30049,21.55,60.27,1017.42,92.59,443.93
30050,24.14,69.23,1012.4,73.26,433.92
30051,33.72,74.33,1011.4,37.51,428.96
30052,15.79,38.28,1014.4,74.84,465.64
30053,28.26,69.23,1013.01,42.1,436.31
30054,21.93,62.91,1013.45,74.62,449.17
30055,34.35,77.17,1009.26,59.33,437.65
30056,26.76,48.41,1010.53,47.38,440.63
30057,31.82,73.68,1014.8,40.58,433.32
30058,18.04,44.85,1015.13,48.4,463.31
30059,27.0,69.34,1008.88,74.4,439.26
30060,24.77,69.71,1009.86,85.56,441.29
30061,10.01,40.78,1023.71,88.11,470.82
30062,26.33,64.45,1013.12,43.31,450.67
30063,7.48,38.5,1014.01,77.35,488.43
30064,28.53,76.86,999.08,75.77,431.64
30065,31.12,68.94,1006.05,68.46,431.92
30066,32.09,69.4,1003.1,56.91,430.62
30067,28.28,56.9,1006.38,64.99,445.61
30068,14.43,38.28,1014.76,79.76,467.12
30069,16.16,25.88,1009.58,72.24,461.86
30070,32.16,76.2,1008.04,51.74,433.29
30071,10.72,39.35,1015.35,86.43,480.18
30072,24.34,50.16,1004.78,74.0,445.33
30073,24.11,66.51,1015.35,56.01,437.21
30074,24.85,71.98,1005.97,95.09,433.64
30075,23.66,61.86,1013.33,83.09,444.27
30076,24.94,63.94,1012.72,73.71,438.55
30077,24.69,71.73,1010.13,70.54,436.78
30078,31.27,73.77,1003.27,71.48,430.32
30079,16.76,48.14,1012.92,65.74,456.31
30080,19.36,44.6,1016.25,45.65,464.56
30081,14.97,43.67,1011.13,87.33,465.54
30082,23.36,73.18,1011.96,89.15,435.85
30083,26.38,65.12,1016.1,47.57,441.07
30084,16.64,44.9,1021.02,70.34,460.93
30085,31.39,69.59,1008.28,62.86,435.76
30086,26.43,66.48,1004.36,55.9,435.59
30087,24.27,63.87,1018.88,53.96,420.26
30088,14.72,39.0,1016.42,76.42,464.93
30089,24.14,62.66,1007.33,73.27,439.93
30090,27.45,66.25,1009.3,77.58,437.37
30091,13.3,50.59,1019.38,92.96,469.13
30092,17.66,44.9,1020.5,71.33,457.11
30093,23.67,63.86,1019.67,57.95,441.73
30094,6.28,43.02,1013.72,88.13,487.17
30095,23.02,63.47,1012.21,80.61,443.66
30096,17.3,58.59,1015.52,87.17,454.88
30097,15.1,41.35,1003.84,97.89,466.14
30098,11.53,41.14,1025.63,88.54,469.04
30099,21.26,51.43,1009.96,80.66,455.45
30100,12.55,39.58,1010.68,76.9,472.31
30101,28.52,70.02,1010.34,54.21,441.98
30102,18.92,67.71,1008.19,64.53,446.77
30103,17.1,43.52,1020.3,70.51,461.51
30104,23.27,64.15,1020.98,71.18,452.26
30105,14.05,40.71,1016.36,68.58,465.74
30106,7.45,39.61,1017.88,79.73,478.89
30107,10.98,41.54,1019.94,69.83,479.08
30108,31.41,74.16,1008.65,68.5,430.37
30109,22.78,59.92,1011.28,88.78,440.87
30110,22.71,75.23,1010.48,76.86,444.0
30111,34.2,68.14,1002.7,56.09,427.05
30112,31.53,70.36,1006.29,57.11,438.71
30113,31.25,73.5,1010.81,45.2,432.25
30114,8.48,38.5,1013.5,66.51,485.29
30115,28.07,66.17,1010.58,64.11,443.77
30116,25.06,52.36,1014.7,67.98,454.13
30117,18.83,48.98,1016.33,74.23,453.28
30118,18.22,44.34,1019.35,56.78,469.27
30119,29.19,70.32,1008.28,55.42,427.9
30120,13.73,50.59,1020.44,85.54,459.6
30121,2.64,39.64,1011.02,85.24,481.29
30122,18.61,63.09,1019.37,83.08,449.81
30123,17.1,49.69,1005.53,81.82,457.32
30124,34.76,68.94,1006.75,41.31,427.42
30125,9.44,43.99,1020.31,98.06,475.01
30126,15.33,37.2,1013.4,78.99,466.81
30127,33.33,73.03,1014.2,42.28,436.05
30128,11.48,37.92,1008.47,70.55,472.9
30129,14.17,39.59,1010.99,94.08,464.17
30130,13.43,40.1,1015.82,87.9,471.77
30131,26.91,70.47,1007.55,72.59,434.24
30132,18.01,54.9,1017.04,77.82,455.91
30133,23.33,58.95,1017.93,66.37,442.71
30134,22.19,60.37,1008.45,92.43,440.75
30135,14.14,39.82,1012.46,81.15,472.52
30136,17.67,43.96,1011.68,82.13,466.31
30137,15.16,40.73,1017.7,86.37,459.19
30138,13.79,45.08,1025.02,84.36,469.55
30139,18.77,39.54,1009.39,63.35,458.58
30140,22.5,58.79,1017.48,73.02,443.35
30141,31.24,68.3,1015.89,42.84,435.2
30142,21.19,52.3,1008.24,79.19,447.06
30143,20.91,58.2,1018.1,62.8,446.19
30144,20.83,70.72,1009.56,89.37,446.48
30145,9.57,39.82,1013.12,89.15,468.02
30146,28.05,62.6,1017.01,46.46,449.73
30147,8.02,39.04,1018.49,68.07,479.53
30148,25.35,74.33,1015.29,77.84,435.66
30149,13.09,43.67,1012.22,91.91,474.45
30150,6.22,38.68,1017.87,69.41,483.55
30151,17.34,44.78,1007.81,56.38,454.97
30152,6.86,40.02,1031.5,77.94,476.45
30153,26.15,64.27,1013.03,59.77,439.11
30154,21.79,58.2,1017.21,66.74,446.94
30155,18.76,52.9,1016.27,64.7,458.26
30156,34.4,77.95,1009.83,57.86,430.87
30157,11.75,42.32,1015.28,77.25,470.44
30158,26.35,49.5,1012.67,41.34,458.41
30159,11.43,41.16,1022.81,92.04,466.86
30160,23.71,68.63,1014.54,46.04,449.41
30161,20.23,57.76,1016.84,81.26,452.5
30162,9.93,39.04,1023.78,77.08,480.54
30163,15.3,38.62,1017.19,70.63,462.65
30164,26.77,74.22,1008.87,74.68,434.35
30165,30.39,70.98,1007.55,72.76,435.48
30166,28.8,74.9,1003.48,75.01,434.01
30167,10.15,39.22,1020.09,68.75,474.87
30168,22.32,70.47,1010.97,83.16,441.87
30169,14.19,49.83,1006.52,90.72,462.86
30170,25.19,63.94,1012.78,75.15,438.73
30171,14.27,41.48,1014.83,62.7,458.19
30172,13.29,71.14,1019.63,75.09,464.18
30173,23.56,71.85,1009.67,74.78,439.48
30174,10.72,41.17,1019.68,60.71,479.21
30175,4.99,41.03,1022.33,83.11,493.16
30176,12.05,49.83,1008.54,95.11,454.18
30177,18.97,43.43,1012.72,75.69,453.2
30178,31.9,73.42,1010.82,60.58,432.27
30179,9.32,36.66,1027.46,70.76,479.13
30180,8.76,41.82,1033.29,76.5,480.08
30181,26.58,70.98,1008.96,77.36,434.41
30182,26.22,49.82,1015.48,55.8,454.2
30183,24.03,58.46,1015.71,70.15,442.03
30184,7.14,44.71,1019.98,71.9,487.71
30185,20.07,49.21,1012.34,56.8,454.25
30186,17.07,44.9,1020.74,70.18,460.19
30187,20.0,69.48,1011.05,85.51,448.79
30188,14.07,40.78,1024.67,72.66,456.71
30189,20.36,57.5,1014.36,82.96,452.28
30190,14.8,44.21,1021.59,89.24,466.21
30191,13.75,44.47,1029.63,70.74,467.14
30192,25.52,67.17,1007.33,85.12,440.02
30193,32.38,67.17,1006.97,60.04,438.67
30194,21.31,49.39,1020.18,71.35,455.34
30195,21.86,64.45,1015.83,63.36,457.8
30196,26.13,71.25,999.8,88.47,430.6
30197,9.45,36.71,1024.24,83.28,476.02
30198,28.61,68.12,1012.23,46.45,435.28
30199,27.24,66.75,1017.78,69.6,433.65
30200,14.48,40.83,1009.42,81.74,469.64
30201,17.47,58.16,1016.36,82.26,456.97
30202,10.27,38.38,1022.16,70.77,475.58
30203,23.69,58.05,1012.08,74.26,444.46
30204,19.66,51.43,1010.17,84.19,459.12
30205,29.76,73.56,1008.07,84.85,432.51
30206,11.17,39.72,1002.4,81.4,474.64
30207,31.0,77.95,1010.14,65.97,431.62
30208,15.04,41.35,1004.29,99.1,467.96
30209,17.78,58.95,1016.32,89.61,450.89
30210,18.47,62.1,1019.86,82.57,452.51
30211,11.44,34.03,1018.57,74.06,476.06
30212,29.69,47.93,1002.85,44.76,438.09
30213,24.19,47.45,1008.26,64.25,446.3
30214,9.84,40.22,1009.5,85.38,479.65
30215,31.19,69.68,1012.6,52.06,440.97
30216,23.77,51.43,1006.67,84.09,441.54
30217,31.5,74.16,1011.72,56.42,436.43
30218,24.73,70.72,1009.82,88.79,439.3
30219,12.65,41.93,1023.07,65.05,479.53
30220,10.16,41.62,1013.15,94.3,465.05
30221,16.49,49.39,1018.1,93.13,461.54
30222,12.58,39.72,1018.08,64.25,469.38
30223,29.23,72.99,1007.04,63.47,431.0
30224,27.44,59.74,1010.99,56.42,452.0
30225,26.14,61.02,1010.13,66.71,436.17
30226,24.24,72.43,1008.02,86.4,436.6
30227,19.1,56.53,1020.18,76.38,455.52
30228,23.36,72.24,1010.99,94.41,434.15
30229,21.04,47.43,1007.15,64.82,450.27
30230,12.24,44.92,1023.74,88.21,473.26
30231,27.61,69.68,1012.79,77.01,438.31
30232,26.2,71.73,1010.14,76.14,430.89
30233,12.89,36.71,1013.36,87.29,475.13
30234,25.78,47.93,1003.67,67.23,442.46
30235,9.57,52.75,1022.32,75.4,470.93
30236,26.34,59.21,1013.37,58.98,439.22
30237,26.0,69.89,1015.12,73.06,433.5
30238,22.78,58.96,1013.65,57.06,452.03
30239,25.2,59.21,1017.54,55.53,444.16
30240,8.52,41.55,1002.09,86.81,483.63
30241,23.33,54.2,1012.47,79.48,440.11
30242,29.64,67.79,1009.99,51.23,440.74
30243,28.14,61.47,1009.69,64.66,435.35
30244,14.67,42.28,1007.21,65.17,469.02
30245,32.87,70.8,1009.54,59.85,433.1
30246,5.28,42.07,1003.82,80.84,485.24
30247,15.92,39.16,1006.59,71.32,460.45
30248,14.12,39.52,1018.41,78.32,465.09
30249,16.14,44.21,1020.36,80.59,461.03
30250,5.0,40.64,1021.05,94.84,485.27
30251,27.99,66.91,1008.47,59.63,439.74
30252,17.19,43.14,1014.34,68.62,464.72
30253,17.33,53.16,1013.16,82.93,460.67
30254,11.56,40.71,1015.85,76.08,469.17
30255,25.16,47.01,1014.99,64.0,452.64
30256,5.23,40.78,1025.13,92.74,483.12
30257,29.86,70.8,1010.22,70.36,437.47
30258,9.43,41.4,1028.42,84.92,479.28
30259,11.54,45.0,1022.77,80.79,482.34
30260,10.45,40.0,1019.01,89.01,465.43
30261,23.89,65.18,1012.46,78.29,438.97
30262,19.72,46.21,1010.54,77.74,449.33
30263,33.75,64.96,1002.54,39.28,432.62
30264,10.2,41.62,1016.52,98.09,462.87
30265,8.72,40.72,1023.48,77.87,485.3
30266,27.62,63.9,1013.11,43.56,442.89
30267,19.62,43.56,1012.89,37.6,463.33
30268,25.15,68.51,1013.25,72.31,440.96
30269,14.96,43.02,1012.77,42.93,467.16
30270,31.09,64.05,1011.32,61.14,440.62
30271,23.62,61.87,1010.07,48.77,447.93
30272,13.33,38.47,1015.42,58.27,466.26
30273,16.78,58.95,1017.74,96.24,450.02
30274,22.1,65.48,1019.3,66.96,447.0
30275,15.69,37.87,1021.18,84.38,465.41
30276,22.46,58.33,1013.21,68.68,445.9
30277,18.87,67.71,1004.0,87.35,444.77
30278,26.78,52.3,1008.52,61.23,441.21
30279,22.72,58.82,1012.54,77.72,448.67
30280,13.18,40.03,1017.75,82.29,470.88
30281,18.25,60.1,1009.72,90.15,456.25
30282,25.65,69.23,1012.55,62.02,435.25
30283,14.73,54.3,1016.75,67.13,463.63
30284,22.83,59.43,1005.51,83.93,440.76
30285,20.13,47.03,1012.59,83.03,459.15
30286,20.4,54.9,1016.68,64.26,452.56
30287,24.14,59.87,1018.47,57.76,444.04
30288,17.46,39.54,1008.21,74.24,462.52
30289,16.19,36.99,1007.37,92.4,462.94
30290,14.79,47.83,1007.27,92.04,463.22
30291,26.78,73.06,1007.99,90.47,433.25
30292,21.87,49.39,1019.99,67.05,451.97
30293,14.32,40.78,1024.49,73.84,457.92
30294,24.2,63.21,1012.25,79.86,449.03
30295,22.24,41.1,1001.96,42.6,451.95
30296,24.39,70.72,1009.78,82.25,442.04
30297,24.41,73.67,1007.39,86.92,435.56
30298,32.06,69.88,1006.88,63.53,432.47
30299,14.43,44.47,1028.57,70.7,466.56
30300,16.13,43.48,1014.41,50.05,459.47
30301,17.67,53.16,1013.59,83.31,457.99
30302,18.85,67.32,1012.91,82.37,446.7
30303,5.42,41.38,1020.77,86.02,491.38
30304,25.9,47.45,1007.8,55.96,443.13
30305,27.55,64.96,999.73,57.34,431.33
30306,10.75,40.81,1015.93,79.27,474.71
30307,23.97,44.57,1007.35,62.71,448.17
30308,6.37,41.03,1022.23,80.36,490.47
30309,22.47,47.45,1007.62,76.65,447.14
30310,19.02,44.85,1014.57,43.37,465.42
30311,26.35,59.87,1013.24,73.63,447.26
30312,15.56,41.04,1025.8,64.81,457.11
30313,23.95,66.48,1003.55,73.68,431.87
30314,13.74,38.73,1004.34,82.82,470.06
30315,18.03,53.16,1013.06,82.03,458.04
30316,6.16,38.5,1012.83,93.68,490.92
30317,7.0,36.24,1013.15,89.64,483.06
30318,12.08,41.39,1019.45,78.3,477.8
30319,19.13,59.21,1018.32,89.66,450.81
30320,7.67,35.77,1017.55,60.97,480.06
30321,30.28,67.22,1014.39,53.32,447.67
30322,32.15,69.98,1013.3,55.13,429.86
30323,31.68,74.16,1011.3,55.94,434.61
30324,28.37,75.6,1017.48,55.19,439.25
30325,14.29,39.59,1012.36,92.38,463.13
30326,31.91,67.83,1008.76,53.22,425.28
30327,30.85,70.94,1007.47,54.79,431.77
30328,20.14,46.33,1013.24,83.39,453.35
30329,23.59,43.77,1010.85,55.98,448.42
30330,31.01,73.5,1010.92,48.61,432.41
30331,11.3,25.36,1008.66,96.18,471.19
30332,29.51,75.6,1017.92,50.61,431.18
30333,13.92,39.39,1012.94,80.52,471.81
30334,17.78,52.08,1006.9,100.09,453.31
30335,4.71,39.42,1026.4,84.42,481.28
30336,28.29,47.93,1002.6,53.23,437.13
30337,34.11,73.56,1006.77,45.92,432.78
30338,21.44,50.78,1008.87,87.56,443.3
30339,17.67,45.09,1014.26,51.92,457.67
30340,12.49,41.62,1011.37,82.68,461.35
30341,27.6,67.25,1017.78,54.25,438.42
30342,22.12,57.19,1007.56,76.5,442.51
30343,7.77,40.27,1010.25,83.65,485.54
30344,10.63,42.28,1008.37,92.68,474.97
30345,21.84,60.29,1017.23,66.89,454.4
30346,19.15,44.34,1019.54,48.09,468.8
30347,25.63,58.86,1014.86,52.75,443.84
30348,12.57,41.79,1014.99,87.8,461.88
30349,13.55,40.1,1015.7,86.68,474.59
30350,5.21,43.65,1017.64,78.62,486.08
30351,13.39,49.83,1007.14,90.88,466.04
30352,8.12,43.02,1013.56,85.26,483.55
30353,32.31,77.95,1010.15,62.17,430.15
